2025-11-14 08:09:00,958 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: test | Action: blocked | Event ID: c221090777552aad | Patterns: eval\s*\(, __import__\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 08:09:00,958 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: test | Action: sanitized | Event ID: 2f99b74446c636d4 | Patterns: eval\s*\(, __import__\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 08:09:00,958 - reasoning_library.security - ERROR - [SECURITY] SQL_INJECTION | Severity: HIGH | Source: test | Action: blocked | Event ID: 8a2f4551a2c0be7f | Patterns: \bdrop\s+table\b, ;\s*(drop|delete|insert|update|create|alter) - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:301
2025-11-14 08:09:00,958 - reasoning_library.security - ERROR - [SECURITY] XSS_ATTEMPT | Severity: HIGH | Source: test | Action: blocked | Event ID: 2ad2f7fb2d275468 | Patterns: <script[^>]*>, </script>, alert\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:301
2025-11-14 08:09:00,958 - reasoning_library.security - WARNING - [SECURITY] PATH_TRAVERSAL | Severity: MEDIUM | Source: test | Action: blocked | Event ID: 4a5f304d3b1cac1c | Patterns: \.\./, /etc/passwd - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:303
2025-11-14 08:09:10,727 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: test | Action: blocked | Event ID: 224bacbbda68fdd6 | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 08:09:10,728 - reasoning_library.security - ERROR - [SECURITY] SQL_INJECTION | Severity: HIGH | Source: test | Action: blocked | Event ID: 1fcbe032103ab7ba | Patterns: \bdrop\s+table\b, ;\s*(drop|delete|insert|update|create|alter) - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:301
2025-11-14 08:09:10,728 - reasoning_library.security - ERROR - [SECURITY] XSS_ATTEMPT | Severity: HIGH | Source: test | Action: blocked | Event ID: 96dde1cbf65ebd60 | Patterns: <script[^>]*>, </script>, alert\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:301
2025-11-14 08:09:10,728 - reasoning_library.security - WARNING - [SECURITY] PATH_TRAVERSAL | Severity: MEDIUM | Source: test | Action: blocked | Event ID: f7b86d3ec3a18a90 | Patterns: \.\./, /etc/passwd - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:303
2025-11-14 08:09:39,649 - reasoning_library.security - CRITICAL - [SECURITY] CODE_INJECTION | Severity: CRITICAL | Source: validation_test | Action: blocked | Event ID: 228c0be175d2c27c | Patterns: eval\s*\( - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:299
2025-11-14 08:09:39,649 - reasoning_library.security - ERROR - [SECURITY] SQL_INJECTION | Severity: HIGH | Source: validation_test | Action: blocked | Event ID: 74858d8f84edaf0c | Patterns: \bdrop\s+table\b, ;\s*(drop|delete|insert|update|create|alter) - /Users/eringreen/Development/reasoning_library/src/reasoning_library/security_logging.py:301
